pincode,code,type,type_encode,rent_per_sqft,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp
122002,L02,Branch,1,93.478,GURUGRAM,HARYANA,28.466093,77.1058349,0.0,4.7468069347675925,Gurugram Airfield,77628.0,14.12,5497.7337110481585,41897.0,35731.0,10955.0,25916867.0,32.8131768396234
122018,L27,Branch,1,63.28,GURUGRAM,HARYANA,28.462,77.0316389,0.0,2.530694748350351,Gurugram Airfield,91624.0,13.0,7048.0,49546.0,42078.0,10955.0,25916867.0,38.72925380988373
124001,J25,Branch,1,25.01,ROHTAK,HARYANA,28.405859,76.215935,1.0,36.57193464020869,Bhilwara Airport,312170.0,185.77,1680.4112612370134,166818.0,145352.0,10955.0,25916867.0,131.9535401404807
124507,J37,Branch,1,25.91,JHAJJAR,HARYANA,28.681179,76.902704,1.0,2.593728796935258,Bahadurgarh Government College Helipad,98617.0,22.67,4350.110277900309,53347.0,45270.0,10955.0,25916867.0,41.68517880652781
125001,J07,Branch,1,41.2,HISAR,HARYANA,29.1745833,75.7172778,1.0,3.730311766199737,Hissar Airport (HSS/VIHR),306007.0,951.7,321.53724913313016,163492.0,142515.0,10955.0,25916867.0,129.34845423252742
125050,J36,Branch,1,27.08,HISAR,HARYANA,29.508192,75.4535162,1.0,43.67598877456374,Sirsa AFS (VISA),264138.0,749.47,352.433052690568,139126.0,125012.0,10955.0,25916867.0,111.65052434771532
131028,J26,Branch,1,23.19,SONIPAT,HARYANA,29.05,76.91,1.0,10.240112469442396,Sonipat Police Line Helipad,77191.0,34.74,2221.963154864709,41631.0,35560.0,10955.0,25916867.0,32.62845794593922
132001,J15,Branch,1,58.52,KARNAL,HARYANA,29.7096667,77.0098611,1.0,2.709901300990259,Karnal Airport,436509.0,380.16,1148.2244318181818,231613.0,204896.0,10955.0,25916867.0,184.5113491148448
132103,J04,Branch,1,30.95,PANIPAT,HARYANA,29.3919611,76.9767305,1.0,36.37567717359685,Karnal Airport,208372.0,273.72,761.2596814262749,111969.0,96403.0,10955.0,25916867.0,88.0783645646675
134003,J10,Hub,0,15.0,AMBALA,HARYANA,30.3775,76.7654722,0.0,4.681886929996055,Ambala AFS (VIAM),179812.0,73.25,2454.7713310580207,95657.0,84155.0,10955.0,25916867.0,76.0061183321271
134113,J29,Hub,0,38.59,PANCHKULA,HARYANA,30.6765722,76.8369361,0.0,4.600218681238501,Chandigarh AFS (IXC/VICG),66084.0,6.76,9775.739644970414,35384.0,30700.0,10955.0,25916867.0,27.933554622941116
135001,J50,Branch,1,76.75,YAMUNANAGAR,HARYANA,77.26175,30.1213889,1.0,5163.889969060287,Siachen Glacier AFS,367238.0,160.86,2282.966554768121,196482.0,170756.0,10955.0,25916867.0,155.23065693087054
140124,J19,Branch,1,43.79,RUPNAGAR,PUNJAB,30.692051,76.69841,1.0,8.909276276367798,Chandigarh AFS (IXC/VICG),24244.0,25.03,968.5976827806631,12443.0,11801.0,7449.0,30357111.0,5.948970440566627
140301,J54,Branch,1,37.88,S.A.S Nagar,PUNJAB,30.9666111,76.3715277,1.0,41.85903272711951,Ludhiana Airport (LUH/VILD),191328.0,164.6,1162.381530984204,101778.0,89550.0,7449.0,30357111.0,46.94788881590215
140401,J16,Branch,1,31.835,PATIALA,PUNJAB,30.486038,76.592572,1.0,24.71275567523663,Ambala AFS (VIAM),97256.0,72.49,1341.647123741206,51437.0,45819.0,7449.0,30357111.0,23.864587904955776
141003,J03,Branch,1,44.47,LUDHIANA,PUNJAB,30.8808333,75.8594722,0.0,9.3513585838396,Ludhiana Airport (LUH/VILD),223461.0,20.35,10980.88452088452,120054.0,103407.0,7449.0,30357111.0,54.832654826738946
142001,J48,Branch,1,68.26,MOGA,PUNJAB,30.81337,75.175565,1.0,43.988769070442885,Halwara AFS (VIHX),83383.0,57.96,1438.6300897170463,44009.0,39374.0,7449.0,30357111.0,20.460443913783497
143001,J05,Branch,1,44.1,AMRITSAR,PUNJAB,31.6374921,74.8660101,1.0,10.223120152322066,Amritsar International Airport (ATQ/VIAR),196260.0,24.69,7948.967193195625,104362.0,91898.0,7449.0,30357111.0,48.15809844355743
