name,lat,lon
Dhanipur Airstrip (VIAH),27.86085701,78.14686584
Dhubulia Airstrip,23.49298477,88.45401764
Dhulia Airport,20.92650032,74.73709869
Dibrugarh Airport (DIB/VEMN),27.48390007,95.01689911
Digri Airstrip,22.78544044,87.36225128
Dimapur Airport (DMU/VEMR),25.88389969,93.77110291
Dinjan Airfield,27.53801727,95.26944733
Dinjan Heliport,27.54464531,95.23822021
Diu Airport (DIU),20.71310043,70.9210968
Dudhkundi Airfield,22.32459068,87.10742188
Duliajan Helipad,27.36618614,95.32292175
Dunakonda Airport (VODK),15.82448673,79.48667145
Dundigul AFS (VODG),17.62719917,78.40339661
Durgapur Airport (RDP/VEDG),23.6213131,87.2435379
Durgapur Steel Plant Airfield,23.5833931,87.33963776
Faizabad Airport,26.75112915,82.15436554
Fazilka Helipad,30.39480972,74.05426025
Ferozepur Airfield,30.89666939,74.58268738
Ferozepur Helipad,30.90526962,74.60861969
Fukche Advanced Landing Ground,32.93740082,79.21320343
Fursatganj Airport (VIRB),26.24850082,81.38050079
Gaggal Airport (DHM/VIGG),32.1651001,76.26339722
Gandhinagar (ISK/VANR),19.96369934,73.80760193
Gandhinagar Heliport,23.21794319,72.65901184
Gangtok Helipad,27.35569763,88.61410522
Gauchar Airfield,30.28482628,79.16116333
Gaya Airport (GAY/VEGY),24.74430084,84.95120239
Gharab AFS,26.43625641,73.10282135
Ghatotand Airstrip,23.78762245,85.57096863
Girdharipur Helipad,28.42201042,79.42256165
Giridih Airport,24.20190048,86.28980255
GITAM University Helipad,17.54872894,78.16770172
Go Fly Zone,27.37557411,75.90277863
Goa-Dabolim Airport (GOI/VAGO),15.38070965,73.83204651
Gondia Airport,21.52619934,80.29039764
Gopalpur Helipad,19.25520515,84.86724091
Gorakhpur AFS (GOP/VEGK),26.74100304,83.4493103
Gulbarga Airport,17.30783653,76.96131134
Guna Airport (GUX/VAGN),24.65469933,77.34729767
Gunna Ka Pura Airfield,26.65017319,77.79263306
Gurugram Airfield,28.4617691,77.05752563
Gurugram IIA Helipad,28.38574409,76.97505951
Guskhara Airfield,23.47166634,87.79416656
Hadapsar Airfield,18.49245453,73.94149017
Hakimpet AFS (VOHK),17.55349922,78.52490234
HAL Heliport,12.96145821,77.67774963
Haldwani AHP,29.24599457,79.54264832
Halwara AFS (VIHX),30.74850082,75.62979889
Halwara Hospital Helipad,30.75904465,75.65597534
Harihar Airport,14.53493404,75.78761292
Hashimara AFS,26.69829941,89.36910248
Hawai Patti Airport,28.81702423,78.92835999
Hindon AFS (VIDX),28.70770073,77.35890198
Hirakud Airport (VEHK),21.5802002,84.00569916
Hisar Helipad,29.1164608,75.82022095
Hissar Airport (HSS/VIHR),29.17939949,75.75530243
Holta Helipad,32.1074295,76.55054474
Holta Helipad,32.11541748,76.55958557
Hosur Airport (HSR/VO95),12.66217899,77.77033234
HQ Eastern Air Command Helipad,25.53818321,91.82655334
Hubli Airport (HBX/VAHB),15.36170006,75.0848999
Hulyal Helipad,34.4335022,75.77258301
Hyderabad Defence College Heliport,17.50104141,78.52507782
Hyderabad DRDO Helipad,17.33543777,78.49893951
Hyderabad International Airport (HYD/VOHS),17.22887611,78.43279266
ICRISAT Helipad,17.51528931,78.27507019
Indal-Vijayanagar Aerodrome (VDY/VOJV),15.17475986,76.63434601
Indian Military Academy Helipad,30.34138489,77.97463989
Indore International Airport (IDR/VAID),22.72179985,75.80110168
INS Adyar,13.07319164,80.29003906
INS Baaz (VOBX),7.01304007,93.92279816
INS Chilika,19.68298149,85.19848633
INS Dronacharya Helipad,9.95211601,76.23957825
INS Garuda (VOCC),9.94451523,76.274086
INS Kalinga Heliport,17.85976028,83.41496277
INS Parundu (VORM),9.32509041,78.97149658
INS Rajali (VOAR),13.07120037,79.69120026
Itanagar Helipad,27.11167526,93.69610596
Jabalpur Airport (JLR/VAJB),23.17779922,80.05200195
Jagdalpur Airport (JGB),19.07430077,82.03679657
Jaipur Airport (JAI/VIJP),26.82419968,75.81220245
Jaipur Heliport,26.93497086,75.76865387
Jaisalmer Air Force Station (JSA/VIJR),26.88870049,70.86499786
Jaisalmer Helipad,26.91364861,70.89942169
Jaisalmer Indira Helipad,26.92292976,70.93906403
Jaisalmer Kalyan Ghat Helipad,26.93573761,70.98403168
Jakkur Airfield,13.0766983,77.59765625
Jalahalli Helipad,13.07609367,77.54542542
Jalgaon Airport,20.96220016,75.62670135
Jalgaon Helipad,20.9453373,75.55122375
Jallowal Airport,31.55999947,75.34130096
