pincode,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name
522614,Palnadu,ANDHRA PRADESH,16.4535000,79.7476000,0,47.00789966561288,Nagarjuna Sagar Airport (VONS)
522615,Palnadu,ANDHRA PRADESH,16.3152000,79.9122000,0,68.353003537947,Nagarjuna Sagar Airport (VONS)
522660,Palnadu,ANDHRA PRADESH,15.8283000,79.7398000,0,27.082959732577628,Dunakonda Airport (VODK)
522649,Palnadu,ANDHRA PRADESH,16.0256000,79.8000000,0,40.281149198950764,Dunakonda Airport (VODK)
522603,Palnadu,ANDHRA PRADESH,16.3402000,80.0207000,0,74.88835650270656,Bapatla Helipad
522617,Palnadu,ANDHRA PRADESH,16.2023000,79.0870000,0,44.97291877114789,Nagarjuna Sagar Airport (VONS)
522549,Palnadu,ANDHRA PRADESH,16.2444000,80.1419000,0,58.323464932486964,Bapatla Helipad
522646,Palnadu,ANDHRA PRADESH,16.1398000,79.8112000,0,49.323016601216246,Dunakonda Airport (VODK)
522657,Palnadu,ANDHRA PRADESH,16.1255000,79.5558000,0,34.27722561283121,Dunakonda Airport (VODK)
522647,Palnadu,ANDHRA PRADESH,16.0234000,79.7512000,1,35.906566624492804,Dunakonda Airport (VODK)
522409,Palnadu,ANDHRA PRADESH,16.7451000,80.1338000,0,74.56093943581043,Vijayawada Airport (VGA/VOBZ)
522411,Palnadu,ANDHRA PRADESH,16.5270000,80.0045000,0,73.3691404601275,Nagarjuna Sagar Airport (VONS)
522437,Palnadu,ANDHRA PRADESH,16.4932000,79.7630000,0,47.91570423109845,Nagarjuna Sagar Airport (VONS)
522414,Palnadu,ANDHRA PRADESH,16.5348000,79.7057000,1,41.50607218968178,Nagarjuna Sagar Airport (VONS)
522415,Palnadu,ANDHRA PRADESH,16.5064000,79.6448000,1,35.22855869389771,Nagarjuna Sagar Airport (VONS)
522410,Palnadu,ANDHRA PRADESH,16.5898000,80.1008000,0,74.47485785544056,Vijayawada Airport (VGA/VOBZ)
522435,Palnadu,ANDHRA PRADESH,16.5699000,79.8330000,0,55.15327768915682,Nagarjuna Sagar Airport (VONS)
522426,Palnadu,ANDHRA PRADESH,16.4826000,79.3986000,1,10.950331202970787,Nagarjuna Sagar Airport (VONS)
522438,Palnadu,ANDHRA PRADESH,16.3532000,80.2113000,0,64.11559140417664,Bapatla Helipad
522408,Palnadu,ANDHRA PRADESH,16.3300000,80.1256000,0,66.85614291609458,Bapatla Helipad
522436,Palnadu,ANDHRA PRADESH,16.4849000,80.3030000,0,52.88723852590675,Vijayawada Airport (VGA/VOBZ)
522402,Palnadu,ANDHRA PRADESH,16.5166000,80.2346000,0,59.951648386090966,Vijayawada Airport (VGA/VOBZ)
522413,Palnadu,ANDHRA PRADESH,16.4603000,79.8699000,1,59.702258396053864,Nagarjuna Sagar Airport (VONS)
522412,Palnadu,ANDHRA PRADESH,16.4554000,80.0680000,0,78.1505611630696,Vijayawada Airport (VGA/VOBZ)
522421,Palnadu,ANDHRA PRADESH,16.5891000,79.5238000,0,22.727864571050148,Nagarjuna Sagar Airport (VONS)
522401,GUNTUR,ANDHRA PRADESH,16.440567,80.293705,0,54.56390169589592,Vijayawada Airport (VGA/VOBZ)
524203,SPSR NELLORE,ANDHRA PRADESH,14.9882560,80.0402190,0,107.23538435684927,Bapatla Helipad
524142,SPSR NELLORE,ANDHRA PRADESH,14.7514510,79.8856820,0,122.66345823318372,Cuddapah Airport (CDP/VOCP)
524221,SPSR NELLORE,ANDHRA PRADESH,14.9815690,79.5076460,0,93.75514077328944,Dunakonda Airport (VODK)
524240,SPSR NELLORE,ANDHRA PRADESH,14.1539860,79.8002560,0,64.2788112708341,Tirupati Airport (TIR/VOTP)
524152,SPSR NELLORE,ANDHRA PRADESH,14.7638010,80.0367260,0,130.09099055463577,Bapatla Helipad
524222,SPSR NELLORE,ANDHRA PRADESH,14.9059990,79.3697870,0,77.73388307175522,Cuddapah Airport (CDP/VOCP)
524236,SPSR NELLORE,ANDHRA PRADESH,14.4150220,79.9773190,0,98.81041161993728,Tirupati Airport (TIR/VOTP)
524223,SPSR NELLORE,ANDHRA PRADESH,14.8871520,79.9476000,0,115.35086840853437,Dunakonda Airport (VODK)
524224,SPSR NELLORE,ANDHRA PRADESH,14.8291850,79.7378840,0,109.64639544015702,Cuddapah Airport (CDP/VOCP)
524201,SPSR NELLORE,ANDHRA PRADESH,14.8797200,79.9836110,1,117.79407754926564,Dunakonda Airport (VODK)
524239,SPSR NELLORE,ANDHRA PRADESH,14.9913410,79.6821310,0,94.98146648914283,Dunakonda Airport (VODK)
524230,SPSR NELLORE,ANDHRA PRADESH,14.7777050,79.3156800,0,65.45701096711964,Cuddapah Airport (CDP/VOCP)
524310,SPSR NELLORE,ANDHRA PRADESH,15.0213810,79.1746050,0,71.24021901084468,Cuddapah Airport (CDP/VOCP)
524225,SPSR NELLORE,ANDHRA PRADESH,14.7563190,79.8163670,0,115.52002102897754,Cuddapah Airport (CDP/VOCP)
524227,SPSR NELLORE,ANDHRA PRADESH,15.0529550,79.4239870,0,86.05309382240193,Dunakonda Airport (VODK)
524228,SPSR NELLORE,ANDHRA PRADESH,14.8725430,79.6087150,0,98.44827920586535,Cuddapah Airport (CDP/VOCP)
524315,SPSR NELLORE,ANDHRA PRADESH,14.6853270,80.0548890,1,129.4121284079595,Tirupati Airport (TIR/VOTP)
524302,SPSR NELLORE,ANDHRA PRADESH,14.5460200,79.2845770,0,55.222203465234074,Cuddapah Airport (CDP/VOCP)
524004,SPSR NELLORE,ANDHRA PRADESH,14.4593440,79.9126240,0,100.20118357792235,Tirupati Airport (TIR/VOTP)
524304,SPSR NELLORE,ANDHRA PRADESH,14.7007420,79.6075700,0,92.24674274490765,Cuddapah Airport (CDP/VOCP)
