pincode,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,nearest_railway_km,nearest_railway_name,num_hospitals,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp,state_civil_cases,state_criminal_cases
507305,KHAMMAM,TELANGANA,17.2117983,80.2532672,0,95.3196634643139,Vijayawada Airport (VGA/VOBZ),9.871597529873169,PANDILLAPALLI,0,44223.0,107.72,410.5365763089491,22253.0,21970.0,15020.0,35102892.0,18.92235716646936,771.0,350.0
507163,KHAMMAM,TELANGANA,17.43491,81.32912,0,63.31734359652357,Rajahmundry Airport (RJA/VORY),63.0143591077112,PASIVEDALA,0,6125.0,27.4,223.54014598540147,3069.0,3056.0,15020.0,35102892.0,2.620795460385429,771.0,350.0
507318,KHAMMAM,TELANGANA,17.31338,80.07355,0,83.43673354605166,Warangal Airport (WGC/VOWA),9.331454079882237,MALLEMADUGU,0,71737.0,82.51,869.4340079990303,35618.0,36119.0,15020.0,35102892.0,30.695184317007268,771.0,350.0
507165,KHAMMAM,TELANGANA,17.1917851,80.3575018,1,87.14268560553903,Vijayawada Airport (VGA/VOBZ),18.112230983230393,CHINTA KANI,0,87148.0,267.9,325.3004852556924,43364.0,43784.0,15020.0,35102892.0,37.289319637823574,771.0,350.0
507201,KHAMMAM,TELANGANA,16.80483,80.52876,0,41.79013301362522,Vijayawada Airport (VGA/VOBZ),4.080627732167264,GANGINENI,0,31119.0,145.75,213.50943396226415,15621.0,15498.0,15020.0,35102892.0,13.315352478650476,771.0,350.0
507301,BHADRADRI KOTHAGUDEM,TELANGANA,17.33339,81.1597,0,68.20079803217345,Tadepallegudem Airfield,59.353923579153005,BHIMADOLU,0,98576.0,1273.45,77.40861439396913,48587.0,49989.0,15020.0,35102892.0,42.17918911068638,771.0,350.0
507306,BHADRADRI KOTHAGUDEM,TELANGANA,17.27099,81.009211,0,73.79840931481655,Tadepallegudem Airfield,52.01317154846519,Bhadrachalam Road,0,58575.0,475.81,123.10586158340514,29083.0,29492.0,15020.0,35102892.0,25.063362300747187,771.0,350.0
507166,BHADRADRI KOTHAGUDEM,TELANGANA,17.1868,80.34925,0,87.15246659045457,Vijayawada Airport (VGA/VOBZ),17.087707789380378,CHINTA KANI,0,55594.0,480.21,115.77018387788677,28012.0,27582.0,15020.0,35102892.0,23.787837195864093,771.0,350.0
507302,KHAMMAM,TELANGANA,17.197684,80.656795,0,75.67956607254551,Vijayawada Airport (VGA/VOBZ),39.26336066344327,Tadakalpudi,0,64310.0,295.09,217.93351180995631,32067.0,32243.0,15020.0,35102892.0,27.517282621614196,771.0,350.0
507118,BHADRADRI KOTHAGUDEM,TELANGANA,17.544593,80.646876,0,113.8939715817631,Vijayawada Airport (VGA/VOBZ),3.3333250495941145,Bhadrachalam Road,0,197452.0,1156.28,170.76486664129797,98354.0,99098.0,15020.0,35102892.0,84.48674371331,771.0,350.0
507303,KHAMMAM,TELANGANA,17.212608,80.832138,1,75.95129052843693,Vijayawada Airport (VGA/VOBZ),44.005223373291386,Bhadrachalam Road,4,90576.0,335.7,269.8123324396783,45257.0,45319.0,15020.0,35102892.0,38.75610932569316,771.0,350.0
507120,BHADRADRI KOTHAGUDEM,TELANGANA,17.4852611,80.5764715,0,108.72967551143398,Vijayawada Airport (VGA/VOBZ),6.536727673145711,Bethampurdi,0,7417.0,45.09,164.49323575072077,3778.0,3639.0,15020.0,35102892.0,3.173622845661833,771.0,350.0
507164,KHAMMAM,TELANGANA,17.109784,80.699701,0,65.24831145377999,Vijayawada Airport (VGA/VOBZ),39.2301901243792,TONDALAGOPAVARAM,0,56144.0,280.0,200.5142857142857,28387.0,27757.0,15020.0,35102892.0,24.023173931082376,771.0,350.0
507124,BHADRADRI KOTHAGUDEM,TELANGANA,17.60315,80.32427,0,83.93192486295645,Warangal Airport (WGC/VOWA),11.615996484443768,Karepalli,0,22407.0,215.19,104.1265858078907,10956.0,11451.0,15020.0,35102892.0,9.587618592792868,771.0,350.0
507123,BHADRADRI KOTHAGUDEM,TELANGANA,17.578257,80.414612,1,93.80521216466704,Warangal Airport (WGC/VOWA),8.656879799115877,Chima Pahad,0,92436.0,365.58,252.8475299524044,45696.0,46740.0,15020.0,35102892.0,39.55197537570409,771.0,350.0
523113,PRAKASAM,ANDHRA PRADESH,15.123913,79.893765,0,89.28400253764268,Dunakonda Airport (VODK),13.706166831923705,ULAVAPADU,0,19873.0,101.92,194.98626373626377,10056.0,9817.0,14397.0,40194656.0,7.118149761003055,288.0,277.0
522659,Palnadu,ANDHRA PRADESH,15.999435,79.60519,0,23.21757872371503,Dunakonda Airport (VODK),4.549819243364552,GUNDALUKAMMA,0,35389.0,167.04,211.8594348659004,17625.0,17764.0,14397.0,40194656.0,12.6757007946529,288.0,277.0
522663,Palnadu,ANDHRA PRADESH,16.282072,79.650726,0,45.87802716445214,Nagarjuna Sagar Airport (VONS),26.87536685656778,SAVALYAPURAM,0,23203.0,289.3,80.20394054614587,11681.0,11522.0,14397.0,40194656.0,8.31089563249403,288.0,277.0
522616,GUNTUR,ANDHRA PRADESH,16.087918,80.266533,1,36.47159080854359,Bapatla Helipad,22.055452287910185,NUDURUPADU,6,98573.0,71.1,1386.3994374120955,48968.0,49605.0,14397.0,40194656.0,35.30706870584985,288.0,277.0
522612,Palnadu,ANDHRA PRADESH,16.4274,79.5015,0,23.47172136371532,Nagarjuna Sagar Airport (VONS),8.208806935151907,Macherla,0,73129.0,386.78,189.07130668597136,36658.0,36471.0,14397.0,40194656.0,26.1934873382173,288.0,277.0
522619,Palnadu,ANDHRA PRADESH,16.0941,80.2461,0,38.47139913773815,Bapatla Helipad,20.717757399095422,NUDURUPADU,0,14324.0,39.77,360.17098315313046,7135.0,7189.0,14397.0,40194656.0,5.130598157128151,288.0,277.0
522658,Palnadu,ANDHRA PRADESH,16.1996,79.8024,0,53.65190599719173,Dunakonda Airport (VODK),10.917947243774783,SAVALYAPURAM,0,17965.0,84.59,212.3773495685069,9027.0,8938.0,14397.0,40194656.0,6.43473861301363,288.0,277.0
522614,Palnadu,ANDHRA PRADESH,16.4535,79.7476,0,47.00789966561288,Nagarjuna Sagar Airport (VONS),10.140382457897209,TUMMALACHERUVU,1,89249.0,533.62,167.251977062329,45026.0,44223.0,14397.0,40194656.0,31.967380265675118,288.0,277.0
522615,Palnadu,ANDHRA PRADESH,16.3152,79.9122,0,68.353003537947,Nagarjuna Sagar Airport (VONS),15.6655556910606,MUNUMAKA,0,55308.0,213.36,259.2238470191226,27815.0,27493.0,14397.0,40194656.0,19.81032692505193,288.0,277.0
522660,Palnadu,ANDHRA PRADESH,15.8283,79.7398,0,27.082959732577628,Dunakonda Airport (VODK),20.226835341361305,GUNDALUKAMMA,0,54820.0,304.24,180.18669471469892,27315.0,27505.0,14397.0,40194656.0,19.635534136677272,288.0,277.0
522649,Palnadu,ANDHRA PRADESH,16.0256,79.8,0,40.28114919895077,Dunakonda Airport (VODK),6.220601345735634,VINUKONDA,0,23289.0,104.39,223.0960820001916,11746.0,11543.0,14397.0,40194656.0,8.34169927962563,288.0,277.0
522603,Palnadu,ANDHRA PRADESH,16.3402,80.0207,0,74.88835650270656,Bapatla Helipad,11.793771888646145,DHULIPALLA HALT,0,47233.0,112.06,421.4974121006604,23791.0,23442.0,14397.0,40194656.0,16.918007732172157,288.0,277.0
522617,Palnadu,ANDHRA PRADESH,16.2023,79.087,0,44.97291877114789,Nagarjuna Sagar Airport (VONS),47.8312219734444,Macherla,0,66359.0,230.74,287.59209499869985,33332.0,33027.0,14397.0,40194656.0,23.76859558146237,288.0,277.0
522549,Palnadu,ANDHRA PRADESH,16.2444,80.1419,0,58.32346493248696,Bapatla Helipad,1.1667470248445455,SATULUR,0,27178.0,63.98,424.78899656142545,13719.0,13459.0,14397.0,40194656.0,9.734668857471998,288.0,277.0
522646,Palnadu,ANDHRA PRADESH,16.1398,79.8112,0,49.323016601216246,Dunakonda Airport (VODK),4.209230900100377,SAVALYAPURAM,0,39444.0,134.84,292.52447345001485,19906.0,19538.0,14397.0,40194656.0,14.128128575102124,288.0,277.0
522657,Palnadu,ANDHRA PRADESH,16.1255,79.5558,0,34.27722561283121,Dunakonda Airport (VODK),18.235095201925645,GUNDALUKAMMA,0,20006.0,197.32,101.38860733833368,10071.0,9935.0,14397.0,40194656.0,7.165787959474017,288.0,277.0
522647,Palnadu,ANDHRA PRADESH,16.0234,79.7512,1,35.906566624492804,Dunakonda Airport (VODK),3.0600794444791406,VINUKONDA,3,95656.0,314.66,303.9979660586029,48102.0,47554.0,14397.0,40194656.0,34.26225197697923,288.0,277.0
522409,Palnadu,ANDHRA PRADESH,16.7451,80.1338,0,74.56093943581043,Vijayawada Airport (VGA/VOBZ),30.814531047962088,MOTIMARI,0,33190.0,142.74,232.52066694689643,16832.0,16358.0,14397.0,40194656.0,11.888058701136789,288.0,277.0
522411,Palnadu,ANDHRA PRADESH,16.527,80.0045,0,73.3691404601275,Nagarjuna Sagar Airport (VONS),6.343280508186985,BELLAMKONDA,0,58294.0,402.73,144.74710103543316,29455.0,28839.0,14397.0,40194656.0,20.879858208016508,288.0,277.0
522437,Palnadu,ANDHRA PRADESH,16.4932,79.763,0,47.91570423109845,Nagarjuna Sagar Airport (VONS),5.729430687542095,TUMMALACHERUVU,0,34876.0,79.36,439.4657258064517,17503.0,17373.0,14397.0,40194656.0,12.49195345769348,288.0,277.0
522414,Palnadu,ANDHRA PRADESH,16.5348,79.7057,1,41.50607218968178,Nagarjuna Sagar Airport (VONS),6.493877351645606,NADIKODE,0,89858.0,277.73,323.544449645339,44953.0,44905.0,14397.0,40194656.0,32.18551306920004,288.0,277.0
522415,Palnadu,ANDHRA PRADESH,16.5064,79.6448,1,35.22855869389771,Nagarjuna Sagar Airport (VONS),4.710789892937068,Gurujalas,1,66811.0,237.55,281.25026310250473,33333.0,33478.0,14397.0,40194656.0,23.930493819874957,288.0,277.0
522410,Palnadu,ANDHRA PRADESH,16.5898,80.1008,0,74.47485785544056,Vijayawada Airport (VGA/VOBZ),16.70217573017265,BELLAMKONDA,0,64801.0,190.71,339.78816003355877,32785.0,32016.0,14397.0,40194656.0,23.210548113659687,288.0,277.0
522435,Palnadu,ANDHRA PRADESH,16.5699,79.833,0,55.15327768915682,Nagarjuna Sagar Airport (VONS),5.685098780344236,TUMMALACHERUVU,0,27973.0,108.19,258.55439504575287,14073.0,13900.0,14397.0,40194656.0,10.019423502467593,288.0,277.0
522426,Palnadu,ANDHRA PRADESH,16.4826,79.3986,1,10.950331202970789,Nagarjuna Sagar Airport (VONS),4.474117276302991,Macherla,1,88914.0,290.31,306.272605146223,44908.0,44006.0,14397.0,40194656.0,31.84738931463924,288.0,277.0
522438,Palnadu,ANDHRA PRADESH,16.3532,80.2113,0,64.11559140417664,Bapatla Helipad,8.269722760286632,PHIRANGIPURAM,0,31466.0,95.69,328.8326888912112,16007.0,15459.0,14397.0,40194656.0,11.270553030731248,288.0,277.0
522408,Palnadu,ANDHRA PRADESH,16.33,80.1256,0,66.85614291609458,Bapatla Helipad,8.51663933664283,SATULUR,0,54558.0,138.2,394.7756874095514,27293.0,27265.0,14397.0,40194656.0,19.541690467508914,288.0,277.0
522436,Palnadu,ANDHRA PRADESH,16.4849,80.303,0,52.88723852590675,Vijayawada Airport (VGA/VOBZ),5.90353121322527,LINGAMGUNTLA,0,19076.0,44.91,424.7606323758629,9507.0,9569.0,14397.0,40194656.0,6.83267875212068,288.0,277.0
522402,Palnadu,ANDHRA PRADESH,16.5166,80.2346,0,59.951648386090966,Vijayawada Airport (VGA/VOBZ),6.666750415769612,PEDDAKURAPADU,0,34901.0,110.42,316.07498641550444,17453.0,17448.0,14397.0,40194656.0,12.500908006278246,288.0,277.0
522413,Palnadu,ANDHRA PRADESH,16.4603,79.8699,1,59.702258396053864,Nagarjuna Sagar Airport (VONS),2.0605371104240615,PIDUGURALLA,4,91033.0,166.68,546.1543076553876,45696.0,45337.0,14397.0,40194656.0,32.6063768526841,288.0,277.0
522412,Palnadu,ANDHRA PRADESH,16.4554,80.068,0,78.1505611630696,Vijayawada Airport (VGA/VOBZ),2.339145952848163,REDDIGUDEM,0,51580.0,167.78,307.42639170342113,25805.0,25775.0,14397.0,40194656.0,18.47502464009146,288.0,277.0
522421,Palnadu,ANDHRA PRADESH,16.5891,79.5238,0,22.727864571050148,Nagarjuna Sagar Airport (VONS),5.59128598635804,Rentachintala,0,61349.0,202.8,302.50986193293886,30813.0,30536.0,14397.0,40194656.0,21.974104045075048,288.0,277.0
522401,GUNTUR,ANDHRA PRADESH,16.440567,80.293705,0,54.56390169589592,Vijayawada Airport (VGA/VOBZ),2.1097524407594985,LINGAMGUNTLA,0,9227.0,42.31,218.08083195462063,4661.0,4566.0,14397.0,40194656.0,3.304944791665837,288.0,277.0
524203,SPSR NELLORE,ANDHRA PRADESH,14.988256,80.040219,0,107.23538435684928,Bapatla Helipad,7.103839552709859,TETTU,0,8351.0,30.44,274.3429697766097,4188.0,4163.0,14397.0,40194656.0,2.9911774092555987,288.0,277.0
524142,SPSR NELLORE,ANDHRA PRADESH,14.751451,79.885682,0,122.66345823318372,Cuddapah Airport (CDP/VOCP),10.651649527998494,BITRAGUNTA,0,61831.0,230.72,267.99150485436894,30972.0,30859.0,14397.0,40194656.0,22.146747741789355,288.0,277.0
524221,SPSR NELLORE,ANDHRA PRADESH,14.981569,79.507646,0,93.75514077328944,Dunakonda Airport (VODK),52.14668487162303,KAVALI,0,19599.0,212.12,92.39581369036394,9996.0,9603.0,14397.0,40194656.0,7.020007908514008,288.0,277.0
524240,SPSR NELLORE,ANDHRA PRADESH,14.153986,79.800256,0,64.2788112708341,Tirupati Airport (TIR/VOTP),4.879575264617174,GUDUR JN,0,20362.0,140.91,144.50358384784616,10263.0,10099.0,14397.0,40194656.0,7.2933007313211,288.0,277.0
524152,SPSR NELLORE,ANDHRA PRADESH,14.763801,80.036726,0,130.09099055463577,Bapatla Helipad,5.78556605867889,BITRAGUNTA,0,9534.0,58.38,163.30935251798562,4806.0,4728.0,14397.0,40194656.0,3.4149066482867774,288.0,277.0
524222,SPSR NELLORE,ANDHRA PRADESH,14.905999,79.369787,0,77.73388307175522,Cuddapah Airport (CDP/VOCP),66.46576350202774,KAVALI,0,22832.0,207.7,109.92778045257585,11589.0,11243.0,14397.0,40194656.0,8.178010131496087,288.0,277.0
524236,SPSR NELLORE,ANDHRA PRADESH,14.415022,79.977319,0,98.81041161993728,Tirupati Airport (TIR/VOTP),2.4725296651873845,VEDAYAPALEM,0,26242.0,300.1,87.44418527157613,13376.0,12866.0,14397.0,40194656.0,9.39941055845832,288.0,277.0
524223,SPSR NELLORE,ANDHRA PRADESH,14.887152,79.9476,0,115.35086840853435,Dunakonda Airport (VODK),5.420731953442395,KAVALI,0,22384.0,154.29,145.0774515522717,11288.0,11096.0,14397.0,40194656.0,8.01754462085706,288.0,277.0
